temporada,nombre_equipo,nombre_jugador,url_jugador,url_equipo_origen
2015-2016,Hiopos Lleida,Adria Rivas,https://www.proballers.com/es/baloncesto/jugador/69937/adria-rivas,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
2015-2016,Huesca,Goran Huskic,https://www.proballers.com/es/baloncesto/jugador/61654/goran-huskic,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2015
2015-2016,Huesca,Lluis Costa,https://www.proballers.com/es/baloncesto/jugador/37021/lluis-costa,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2015
2015-2016,Huesca,Gabrielius Maldunas,https://www.proballers.com/es/baloncesto/jugador/69957/gabrielius-maldunas,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2015
2015-2016,Huesca,Christian Diaz,https://www.proballers.com/es/baloncesto/jugador/11659/christian-diaz,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2015
2015-2016,Huesca,Daniel Bordignon Barbieri,https://www.proballers.com/es/baloncesto/jugador/64319/daniel-bordignon-barbieri,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2015
2015-2016,Huesca,Kristopher Davis,https://www.proballers.com/es/baloncesto/jugador/69958/kristopher-davis,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2015
2015-2016,Huesca,Aegir Steinarsson,https://www.proballers.com/es/baloncesto/jugador/39317/aegir-steinarsson,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2015
2015-2016,Huesca,Tadas Sedekerskis,https://www.proballers.com/es/baloncesto/jugador/60547/tadas-sedekerskis,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2015
2015-2016,Huesca,Joan Pardina,https://www.proballers.com/es/baloncesto/jugador/17158/joan-pardina,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2015
2015-2016,Huesca,Jorge Lafuente,https://www.proballers.com/es/baloncesto/jugador/13800/jorge-lafuente,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2015
2015-2016,Huesca,Guillem Colom,https://www.proballers.com/es/baloncesto/jugador/62909/guillem-colom,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2015
2015-2016,Huesca,Marcos Portalez,https://www.proballers.com/es/baloncesto/jugador/16925/marcos-portalez,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2015
2015-2016,Huesca,Cubas Carlos Blasco,https://www.proballers.com/es/baloncesto/jugador/56096/cubas-carlos-blasco,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2015
2015-2016,Leyma Coruña,Beka Burjanadze,https://www.proballers.com/es/baloncesto/jugador/52425/beka-burjanadze,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015
2015-2016,Leyma Coruña,Sergio Olmos,https://www.proballers.com/es/baloncesto/jugador/33664/sergio-olmos,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015
2015-2016,Leyma Coruña,Ben Stelzer,https://www.proballers.com/es/baloncesto/jugador/69952/ben-stelzer,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015
2015-2016,Leyma Coruña,Zach Monaghan,https://www.proballers.com/es/baloncesto/jugador/69951/zach-monaghan,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015
2015-2016,Leyma Coruña,Gediminas Zyle,https://www.proballers.com/es/baloncesto/jugador/50129/gediminas-zyle,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015
2015-2016,Leyma Coruña,Dagoberto Pena,https://www.proballers.com/es/baloncesto/jugador/68115/dagoberto-pena,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015
2015-2016,Leyma Coruña,Angel Hernandez,https://www.proballers.com/es/baloncesto/jugador/45185/angel-hernandez,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015
2015-2016,Leyma Coruña,Joan Creus,https://www.proballers.com/es/baloncesto/jugador/51085/joan-creus,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015
2015-2016,Leyma Coruña,Jesus Castro,https://www.proballers.com/es/baloncesto/jugador/17786/jesus-castro,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015
2015-2016,Leyma Coruña,Larry Abia,https://www.proballers.com/es/baloncesto/jugador/55175/larry-abia,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015
2015-2016,Leyma Coruña,Volodymyr Orlov,https://www.proballers.com/es/baloncesto/jugador/62281/volodymyr-orlov,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015
2015-2016,Leyma Coruña,Tomas Hampl,https://www.proballers.com/es/baloncesto/jugador/44009/tomas-hampl,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015
2015-2016,Leyma Coruña,Oscar Perez,https://www.proballers.com/es/baloncesto/jugador/69953/oscar-perez,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015
2015-2016,Leyma Coruña,Sergio Vidal Baldovi,https://www.proballers.com/es/baloncesto/jugador/64537/sergio-vidal-baldovi,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015
