id_partido,fecha,temporada,ano_inicio,uri_local,uri_visitante,puntos_local,puntos_visitante,cobertura_local,rebotes_local,asistencias_local,robos_local,perdidas_local,valoracion_local,porc_t3_local,cobertura_visitante,rebotes_visitante,asistencias_visitante,robos_visitante,perdidas_visitante,valoracion_visitante,porc_t3_visitante
20160408_caceres_fibwi-palma,2016-04-08,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,81,69,1.0,33.0,19.0,2.0,11.0,90.0,34.61,1.0,36.0,13.0,4.0,12.0,69.0,30.43
20160415_caceres_san-pablo-burgos,2016-04-15,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/909/san-pablo-burgos,https://www.proballers.com/es/baloncesto/equipo/152/caceres,73,57,1.0,34.0,14.0,2.0,11.0,87.0,36.84,1.0,22.0,13.0,5.0,10.0,51.0,39.13
20151211_caceres_leyma-coruna,2015-12-11,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,https://www.proballers.com/es/baloncesto/equipo/152/caceres,85,75,1.0,36.0,20.0,9.0,12.0,106.0,48.0,1.0,32.0,11.0,7.0,16.0,71.0,45.83
20151002_hiopos-lleida_rio-breogan,2015-10-02,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,76,74,1.0,33.0,16.0,12.0,16.0,81.0,36.0,1.0,40.0,14.0,4.0,19.0,70.0,39.13
20151009_rio-breogan_super-agropal-palencia,2015-10-09,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,74,85,1.0,33.0,11.0,6.0,10.0,67.0,37.04,1.0,33.0,12.0,5.0,13.0,93.0,32.0
20151017_melilla-ciudad-del-deporte-1_rio-breogan,2015-10-17,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,69,68,1.0,31.0,9.0,10.0,13.0,70.0,21.05,1.0,42.0,11.0,9.0,19.0,67.0,41.17
20151025_leyma-coruna_rio-breogan,2015-10-25,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,71,62,1.0,40.0,17.0,6.0,20.0,80.0,45.0,1.0,28.0,14.0,10.0,12.0,58.0,25.0
20151031_ourense_rio-breogan,2015-10-31,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/670/ourense,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,53,71,1.0,23.0,5.0,8.0,18.0,37.0,34.78,1.0,29.0,10.0,12.0,17.0,84.0,58.82
20151107_fibwi-palma_rio-breogan,2015-11-07,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,65,74,1.0,20.0,14.0,11.0,16.0,63.0,42.31,1.0,31.0,17.0,8.0,18.0,85.0,47.62
20151111_rio-breogan_san-pablo-burgos,2015-11-11,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/909/san-pablo-burgos,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,78,73,1.0,38.0,16.0,9.0,12.0,92.0,52.63,1.0,31.0,12.0,11.0,14.0,74.0,35.71
20151121_levitec-huesca_rio-breogan,2015-11-21,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,83,75,1.0,34.0,13.0,12.0,16.0,82.0,13.64,1.0,26.0,13.0,6.0,22.0,72.0,33.33
20151128_c-b-prat_rio-breogan,2015-11-28,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat,86,55,1.0,28.0,19.0,12.0,15.0,105.0,16.67,1.0,21.0,15.0,8.0,21.0,43.0,20.0
20151204_rio-breogan_rioverde-clavijo,2015-12-04,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/910/rioverde-clavijo,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,84,98,1.0,30.0,12.0,7.0,9.0,80.0,35.71,1.0,31.0,9.0,2.0,13.0,102.0,47.06
20151220_fc-barcelona-ii_rio-breogan,2015-12-20,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,68,83,1.0,36.0,17.0,11.0,11.0,69.0,16.67,1.0,48.0,10.0,4.0,17.0,90.0,25.0
20151230_navarra_rio-breogan,2015-12-30,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/2113/navarra,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,79,70,1.0,38.0,16.0,5.0,21.0,82.0,45.16,1.0,33.0,5.0,11.0,15.0,48.0,33.33
20160106_hiopos-lleida_rio-breogan,2016-01-06,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,72,79,1.0,32.0,13.0,6.0,20.0,68.0,52.94,1.0,21.0,9.0,12.0,13.0,73.0,45.45
